Comment_Text_Arabic,Problem_Source
"التأمين نتاعهم ما غطاش الأضرار اللي صارتلي بالرغم من اللي مكتوب في العقد.",الخدمة
"الة رشّ الماء هذي تخرّ الماء من الجنب.",المنتج
"الموظفة كانت تتكلم بصوت عالي في الهاتف و ما انتبهتش ليا.",الخدمة
"روبوت التنظيف هذايا يوقف كي يوصل لحاشية الدرج.",المنتج
"خدمة التركيب كانت فاشلة و الجهاز ما اشتغلش بالصحيح.",الخدمة
"الخبز اللي شريتو يابس برشا كيف الحجر.",المنتج
"ما فماش دعم تقني في الأوقات المتأخرة من الليل.",الخدمة
"الصابون هذايا يخلّي البشرة جافّة برشا.",المنتج"
"نظام الدفع نتاعهم على موقع الويب فيه مشاكل تقنية ديما.",الخدمة"
"الضمان نتاع المنتوج طلع ما يسوى شيء وقت اللي احتجت نصلّح الجهاز.",الخدمة"
"المادة هاذي البودرة ما تتخلطش بالباهي مع السائل.",المنتج"
"البرنامج اللي نزّلته فيه برشا أخطاء برمجية و يعلق ديما.",المنتج"
"خدمة كراء السيارة كانت غالطة في المدة المتفق عليها.",الخدمة"
"القلم هذايا يسيح الحبر نتاعو على الورقة.",المنتج"
"استنيت في الصفّ في المقهى وقت طويل برشا قبل ما يجي دوري.",الخدمة"
"الة التصوير الأمامية في الهاتف الصورة فيها ضعيفة في الضوء العادي برشا.",المنتج"
"كان من الصعب جدا نغيّر نوع الخدمة اللي اشتركت فيها.",الخدمة"
"الماكلة اللي طلبتها في المطعم جاتني ناقصة من مكوناتها.",المنتج"
"التجهيزات اللي استعملوها في الخدمة كانت قديمة و صدئة برشا.",الخدمة"
"البيجامة هاذي تقطعت فيسع من الغرزة.",المنتج"
"معاملة الموظفين كانت غير ودودة و غير محترمة.",الخدمة"
"الشامبو هذايا يزيد القشرة في شعري.",المنتج"
"الوعود اللي عطاوها على سرعة الخدمة ما تحققتش بالكلّ.",الخدمة"
"اللمبة هاذي تحرقت بعد ايامات قليلة من استعمالها.",المنتج"
"رقم الهاتف نتاع مصلحة الزبائن يعطي مشغول ديما.",الخدمة"
"التطبيق يستهلك شحن البطارية بسرعة كبيرة.",المنتج"
"فاتورة غالطة فيها زيادة و ما حبوش ينحيوها بسرعة.",الخدمة"
"الكنبة هاذي قماشها يتمزّق فيسع.",المنتج"
"خدمة التنظيف كلّفت برشا و ما كانتش النتيجة كما تمنيت.",الخدمة"
"العطور هاذي ريحتها موش ثابتة بالكلّ.",المنتج"
"قالولي باش يتصلو بيا لتحديد موعد و ما كلمني حدّ.",الخدمة"
"الصوت نتاع الميكروفون ضعيف برشا كي نتكلم بيه.",المنتج"
"إجراءات تفعيل خدمة الهاتف معقدة و تاخذ وقت طويل.",الخدمة"
"الدواء هذايا ما جابلي حتى نتيجة و زاد الأعراض.",المنتج"
"العامل اللي جا يصلّح ما يعرفش يصلّح العطل هذا بالظبط.",الخدمة"
"الخلاط الكهربائي يعمل حسّ غريب و ريحة حرق كي يشتغل.",المنتج"
"الخدمة كانت بطيئة جدا في التوصيل و السلعة وصلت باردة.",الخدمة"
"المناديل هاذي رقيقة برشا و تتحلّل فيسع في اليد.",المنتج"
"قوانين الإرجاع نتاعهم فيها شروط مخفية و صعيبة.",الخدمة"
"الطباعة في الآلة هذي فيها بقع حبر.",المنتج"
"ما احترموش الوقت اللي عطاوني بيه باش نستلم الطلبية.",الخدمة"
"العطر هذايا ريحته تبدّلت و ولات خايبة برشا.",المنتج"
"خدمة تركيب الجهاز كانت فاشلة و تسببت في كسر جزء من الجهاز نفسه.",الخدمة"
"السلعة وصلتني ناقصة دليل الاستعمال.",المنتج"
"ما عطاونيش كلّ التفاصيل على كيفية استعمال المنتوج بالصحيح.",الخدمة"
"الفرن هذايا يحرق الأكل من جهة و يخلّي جهة أخرى مش طايبة.",المنتج"
"صعوبة في الوصول للمسؤول عن مصلحة الزبائن.",الخدمة"
"الدهن هذايا لونه مش نفس اللون اللي اخترته في الكتالوج.",المنتج
"ما فماش شفافية في الأسعار اللي يضيفوها على الفاتورة.",الخدمة"
"الفيشة نتاع الشاحن مترخفة من مكانها في الهاتف.",المنتج"
"نظام تتبّع الطلبيات ما يشتغلش بالصحيح.",الخدمة"
"المنتج وصلني في صندوق ممزّق برشا.",المنتج"
"خدمة الزبائن غير موجودة في الليل ولا في نهاية الأسبوع.",الخدمة"
"اللبسة جاتني فيها غرزة محلولة.",المنتج"
"مشيت للمحلّ في وقت عملهم و لقيتو مسكر بغير سبب.",الخدمة"
"الكتاب فيه صفحات مش واضحة الطباعة فيها.",المنتج"
"التدريب اللي عملتو كان ناقص في المعلومات النظرية.",الخدمة"
"خرطوشة الحبر نتاع الطابعة تنشف فيسع برشا.",المنتج"
"التعامل كان جافّ برشا من عند البائع في المغازة.",الخدمة"
"الصلصة هاذي طعمها مسوس برشا و ما فيهاش بنّة.",المنتج"
"قعدت نستنى وقت طويل برشا على الهاتف باش نكلم مصلحة الدعم التقني.",الخدمة"
"الضوء في اللمبة ضعيف برشا، ما يضويش المكان كما يجب.",المنتج
"رفضوا يعطيني موعد في اليوم اللي يناسبني و المناسب ليهم.",الخدمة"
"القرص الضاغط فلاش ديسك هذا فسد فيسع بعد ما نقلت عليه برامج قليلة.",المنتج
"ما فماش معلومات كافية على خدمة ما بعد البيع في العقد.",الخدمة"
"الكرسي هذايا يتكسر من الظهر نتاعو فيسع.",المنتج"
"عملية الشراء من موقع الويب تتعطّل برشا لدرجة ما نجمتش نكمل.",الخدمة
"البطارية نتاع جهاز التحكم عن بعد تتفرّغ في يومين.",المنتج"
"خدمة الإرجاع كانت معقدة و طلبوا مني برشا صور واثباتات.","الخدمة"
"شريت مقوي شبكة هاتف، ما عمل حتى فرق، الإشارة مازالت ضعيفة كيما كانت.","المنتج"
"شركة شحن البضائع متاعكم ضيعتلي طرد مهم، و توا ما يحبوش يعوضوني.","الخدمة"
"الكريم الواقي من الشمس هذا يخلي طبقة بيضاء على الوجه و ما تمتصهوش البشرة.","المنتج"
"الاشتراك في باقة القنوات الرياضية غالي، و أغلب المباريات المهمة مشفرة زيادة.","الخدمة"
"الآلة الحاسبة العلمية هاذي بعض الأزرار فيها ما تخدمش من أول يوم.","المنتج"
"خدمة رعاية كبار السن في المنزل اللي تعاقدنا معاها، الموظفين مهملين و ما عندهمش خبرة.","الخدمة"
"شريت علبة بسكويت للأطفال، لقيت فيها قطعة بلاستيك صغيرة، خطر كبير.","المنتج"
"التطبيق متاعكم لمتابعة التمارين الرياضية يحسب السعرات الحرارية بشكل خاطئ تماماً.","الخدمة"
"القهوة سريعة التحضير هاذي طعمها مر برشا تقول دواء، موش قهوة.","المنتج"
"خدمة العملاء متاع شركة الكهرباء ما يجاوبوش على التليفون كان بالسيف، و الفاتورة تجي غالطة.","الخدمة"
"المروحة السقفية هاذي تعمل صوت عالي وقت اللي تدور و ما تبردش الغرفة بالكفاءة.","المنتج"
"عامل توصيل الطلبات من السوبر ماركت جابلي حاجات منتهية الصلاحية و ما رضاش يرجعها.","الخدمة"
"شامبو الأطفال هذا مكتوب عليه 'لا دموع'، أما حرق عيني ولدي. دعاية كاذبة.","المنتج"
"شركة صيانة المصاعد ديما تتأخر في الإصلاحات، و المصعد أغلب الوقت معطل.","الخدمة"
"جهاز قياس ضغط الدم هذا كل مرة يعطي قراءة مختلفة، ما تنجمش تعتمد عليه.","المنتج"
"المنصة التعليمية عن بعد اللي نسجل فيها أولادي، الفيديوهات ديما تقص و جودة الصوت رديئة.","الخدمة"
"شريت سمن بلدي على أساس طبيعي، طلع فيه ريحة و طعم غريب كأنه مصنع.","المنتج"
"شركة تنظيف السجاد اللي جاتني، خلات السجاد مبلول برشا و ريحته ولات خايبة.","الخدمة"
"الأقلام الملونة الخشبية هاذي تتكسر بسرعة وقت البري و الألوان باهتة.","المنتج"
"خدمة حجز تذاكر القطارات عبر الإنترنت، الموقع ديما ثقيل و عملية الدفع تفشل.","الخدمة"
"القارورة الحرارية للمياه هاذي ما تحفظش البرودة، الماء يسخن فيها فيسع.","المنتج"
"المخبزة متاعكم الخبز فيها ديما يابس و صغير الحجم مقارنة بالسعر.","الخدمة"
"معجون الأسنان هذا قالوا يبيض الأسنان، استعملتو شهر و ما فما حتى نتيجة.","المنتج"
"باش تعمل بطاقة تعريف وطنية جديدة، الإجراءات في المركز تطول برشا و الموظفين معاملتهم جافة.","الخدمة"
"المكمل الغذائي هذا شريتو لزيادة الوزن، ما زادني شي و عملي مشاكل في الهضم.","المنتج"
"وكالة كراء السيارات حاسبوني على خدوش ما عملتهاش أنا في السيارة. ظلم.","الخدمة"
"شريت كيس سماد عضوي للنباتات، لقيتو معبي بالحشرات و اليرقات.","المنتج"
"التطبيق متاع البنك يطلب تحديث كل يومين، و بعد التحديث تظهر مشاكل جديدة.","الخدمة"
"الخبز الأسمر المعلب هذا فيه مواد حافظة برشا و طعمه موش طبيعي.","المنتج"
"الخط الساخن لوزارة الصحة للاستفسار عن الأمراض، ما يشدهوش حد و كان شدوه ما يعطوكش معلومة صحيحة.","الخدمة"
"جهاز تنقية الهواء هذا فلاتره غالية برشا و لازم تتبدل كل شهر. تكلفة عالية.","المنتج"
"شركة تركيب مكيفات الهواء، ركبولي المكيف بطريقة غالطة و ولا يسرب الماء داخل الغرفة.","الخدمة"
"شريت هاتف ذكي مستعمل من محل، قالولي حالته ممتازة، طلع فيه عيوب خفية في البطارية و الشاشة.","المنتج"
"خدمة توصيل وجبات الحمية الغذائية، الأكل يوصل متأخر و كمياته قليلة جداً.","الخدمة"
"شاحن السيارة هذا فسد بعد أسبوعين استعمال، نوعية رديئة جداً.","المنتج"
"البلدية و خدمة رفع الفضلات، ساعات يقعدوا أيام ما يجوش و الريحة تولي لا تطاق.","الخدمة"
"الكاميرا الرقمية هاذي بطاريتها تفرغ بسرعة خيالية، ما تصور بيها شي.","المنتج"
"صالون التجميل هذا استعملولي مواد رخيصة عملتلي حساسية في وجهي.","الخدمة"
"الحلويات الشرقية اللي شريتها من عندكم يابسة و السكر فيها زايد عن اللزوم.","المنتج"
"خدمة الإنترنت في النزل ضعيفة جداً و تقص كل دقيقة، مستحيل تخدم بيها.","الخدمة"
"الخلاط اليدوي هذا الموتور متاعو ضعيف و ما يرحيش الحاجات القاسية بالكدا.","المنتج"
"حاولت نفتح حساب بنكي جديد، طلبوا مني أوراق تعجيزية و معاملة سيئة من الموظف.","الخدمة"
"فلتر زيت السيارة هذا شريتو على أساس أصلي، طلع مقلد و عملي مشكلة في المحرك.","المنتج"
"المدرسة متاع تعليم السياقة، المدرب ديما يجي متأخر و أغلب الوقت يقضيه يحكي في التليفون.","الخدمة"
"القفازات البلاستيكية هاذي تتقطع من أقل حركة، ما تحميش اليدين بالكل.","المنتج"
"شركة نقل الأثاث كسرولي برشا حاجات و ما حبوش يتحملوا المسؤولية.","الخدمة"
"الغلاية الكهربائية هاذي تصدي من الداخل بعد مدة قصيرة من الاستعمال.","المنتج"
"طلبت من مطعمكم وجبة نباتية، جابولي فيها قطع دجاج صغيرة. إهمال و عدم احترام.","الخدمة"
"المصباح اليدوي هذا إضاءته ضعيفة جداً و البطاريات متاعو ما تدومش.","المنتج"
"خدمة العملاء متاع شركة التأمين على السيارات، كلامهم معسول قبل ما تخلص، و بعد الحادث يتهربوا منك.","الخدمة"
"شريت ثلاجة جديدة، الباب متاعها ما يتسكرش بإحكام و تعمل ثلج برشا من داخل.","المنتج"
"الروضة متاع الأطفال هاذي الإدارة متاعها مهملة و ما فماش اهتمام كافي بالصغار.","الخدمة"
"المقلاة الهوائية هاذي تاخذ برشا وقت باش تطيب الماكلة و ما تجيش مقرمشة كيما الإشهار.","المنتج"
"شركة توزيع المياه، ديما فما انقطاعات مفاجئة للماء بدون سابق إنذار.","الخدمة"
"شريت مجموعة أدوات مكتبية، الأقلام جافة و المسطرة معووجة.","المنتج"
"الورشة متاع تصليح السيارات هاذي أسعارهم غالية و شغلهم موش نظيف.","الخدمة"
"السماعات الطبية هاذي تعمل صدى صوت مزعج و ما توضحش الكلام بالكدا.","المنتج"
"خدمة توصيل الخضار و الغلال للمنزل، ديما يجيبوا حاجات ذابلة و موش طازجة.","الخدمة"
"الكمبيوتر المكتبي هذا يعلق برشا و يعمل إعادة تشغيل وحده كل مرة.","المنتج"
"العيادة الطبية الخاصة هاذي، الطبيب ما يسمعش المريض بالباهي و يكتب دواء بسرعة.","الخدمة"
"شريت طلاء أظافر، اللون متاعو يتغير بعد يوم و يتقشر بسهولة.","المنتج"
"شركة تركيب كاميرات المراقبة، الكاميرات ما تغطيش كل الأماكن المهمة و التسجيل موش واضح.","الخدمة"
"آلة صنع القهوة بالكبسولات هاذي تسرب الماء من كل جهة وقت التحضير.","المنتج"
"خدمة تغيير العملة في المطار، سعر الصرف مجحف جداً و العمولة عالية.","الخدمة"
"المحامي اللي وكلتو في قضية، ما يتابعش الملف بالباهي و ديما يطلب فلوس زيادة.","الخدمة"
"المنشار الكهربائي هذا شفرته تبرد بسرعة و ما يقصش الخشب السميك.","المنتج"
"خدمة الاشتراك في تطبيق الأفلام، المحتوى قديم و الترجمة للعربية رديئة.","الخدمة"
"الوسادة الطبية هاذي قاسية جداً و سببتلي وجيعة في رقبتي أكثر.","المنتج"
"الخياط اللي فصلت عندو بدلة، المقاسات غالطة و الخياطة موش متقونة.","الخدمة"
"شريت جهاز بخار للملابس، ما ينحيش التجاعيد بالباهي و ياخذ برشا وقت.","المنتج"
"شركة تنظيم الحفلات و الأعراس اللي تعاملت معاها، فوضى كبيرة و عدم التزام بالبرنامج.","الخدمة"
"اللاصق الطبي هذا ما يشدش على الجلد و يطيح بسرعة.","المنتج"
"المرشد السياحي اللي كان معانا في الجولة، معلوماته سطحية و أغلب الوقت ساكت.","الخدمة"
"شريت حقيبة سفر جديدة، اليد متاعها تكسرت من أول رحلة. نوعية سيئة.","المنتج"
"خدمة الحجز الفندقي عبر الهاتف، الموظف ما عطانيش كل المعلومات الصحيحة عن الغرفة.","الخدمة"
"ان الكهربائي هذا يستهلك كهرباء بشكل كبير جداً و تدفئته ضعيفة.","المنتج"
"مركز تعليم اللغات هذا، الأساتذة يتغيروا برشا و المناهج قديمة.","الخدمة"
"شريت طابعة ثلاثية الأبعاد صغيرة، دقتها ضعيفة جداً و المواد غالية.","المنتج"
"خدمة غسيل وكي الستائر، رجعوهملي مازال فيهم غبرة و الكوي موش تمام.","الخدمة"
"مجموعة مفكات البراغي هاذي الحديد متاعها لين و يتثنى بسرعة.","المنتج"
"العيادة السنية دونتست هاذي المواعيد متاعها بعيدة برشا و الأسعار خيالية.","الخدمة"
"القفص متاع العصافير هذا ضيق برشا و الحديد متاعو بدا يصدي.","المنتج"
"خدمة تأجير فساتين السهرة، الفساتين حالتها تعبانة و فيها عيوب واضحة.","الخدمة"
"شريت حوض سمك صغير، الفلتر متاعو توقف عن العمل بعد أيام قليلة.","المنتج"
"مدرب اللياقة البدنية الشخصي هذا ما يركزش مع المتدرب و ديما مشغول بتليفونه.","الخدمة"
"شريط القياس المتر هذا الأرقام متاعو تتمسح بسرعة.","المنتج"
"مكتب دراسات هندسية عملي تصميم فيه أخطاء كبيرة كلفتني برشا فلوس.","الخدمة"
"شريت دراجة نارية مستعملة، بعد فترة اكتشفت فيها مشاكل ميكانيكية كبيرة ما قاليش عليها البائع.","المنتج"
"شركة الشحن الدولي تأخرت برشا في توصيل الشحنة و زادت عليها رسوم ما تفهمناش عليها.","الخدمة"
"الفرن الصغير الميكروويف هذا يسخن الصحن أكثر من الأكل اللي بداخله.","المنتج"
"خدمة الترجمة المعتمدة كلفتني برشا فلوس و لقيت فيها أخطاء إملائية.","الخدمة"
"العدسة المكبرة هاذي الصورة فيها موش واضحة و تعمل وجيعة في العين.","المنتج"
"المعهد الموسيقي هذا الأساتذة فيه مستواهم عادي جداً بالنسبة لسعر التسجيل.","الخدمة"
"شريت جهاز تسجيل صوت، جودة التسجيل رديئة جداً و فيه تشويش كبير.","المنتج"
"خدمة توصيل الهدايا و الورود، الوردة وصلت ذابلة و التغليف كان سيء.","الخدمة"
"المبخرة الكهربائية هاذي ما تسخنش بالباهي و البخور ما يطلعش ريحته.","المنتج"
"شركة تركيب أنظمة الحماية و الإنذار، النظام ديما يعطي إنذارات غالطة.","الخدمة"
"شريت بخاخ طارد للناموس، ما يعمل حتى شي و الناموس مازال يقرص.","المنتج"
"المحل متاع بيع قطع غيار السيارات ديما يقول ما عنديش و يوجهك لمحل آخر أغلى.","الخدمة"
"السجاد اللي شريتو من عندكم اللون متاعو بهات بعد أول تنظيف خفيف.","المنتج"
"خدمة صف السيارات في المركز التجاري غالية و ديما ما تلقاش بلاصة بسهولة.","الخدمة"
"شريت غطاء هاتف شفاف، اصفر لونه بعد أسبوعين و ولا شكله خايب.","المنتج"
"مكتبة بيع الكتب المستعملة أسعارها قريبة من الجديد و الكتب حالتها متوسطة.","الخدمة"
"شريت حاسوب محمول، بعد شهر الشاشة ولات فيها بقع سوداء، صنعة تعيسة.","المنتج"
"شركة الأنترنات متاعكم كل يوم تقص، وكي نكلمهم يقولولي المشكل من عندك. خدمة صفر.","الخدمة"
"القميص هذا شريتو على أساس قطن صافي، طلع مخلوط بمواد أخرى و يعمل حساسية.","المنتج"
"طلبت أكل من مطعمكم، وصلني بارد و ناقص الصوص اللي طلبتها زيادة. توصيل سيء.","الخدمة"
"سماعات الأذن اللاسلكية هاذم، وحدة تشحن و الأخرى لا، عيب مصنعي واضح.","المنتج"
"حجزت غرفة في نزل عبر موقعكم، الصور حاجة و الواقع حاجة أخرى خلاص، الغرفة وسخة.","الخدمة"
"لعبة التركيب البازل هاذي ناقصة قطعة أساسية في الوسط، ما كملتش.","المنتج"
"تطبيق طلب سيارات الأجرة متاعكم ديما يوريني السائق بعيد برشا و يزيد يستنى.","الخدمة"
"شريت علبة ياغورت، تاريخ صلاحيتها قريب ينتهي و الطعم حامض تقول قديم.","المنتج"
"خدمة ما بعد البيع لشركتكم عدم، الجهاز تعطل و لا واحد جاوب على اتصالاتي.","الخدمة"
"المكنسة الكهربائية هاذي صوتها قوي جدا تقول محرك طيارة، أما ما تشفطش التراب بالباهي.","المنتج"
"عامل التوصيل جابلي الطلبية ناقصة، و كي كلمتو في التاليفون ما حبش يرجع. قلة مسؤولية.","الخدمة"
"صبغة الشعر هاذي مكتوب عليها طبيعية، عملتلي تهيج في جلدة الراس ولات حمراء و تحك.","المنتج"
"طلبت فني لإصلاح سخان الماء، جاء بعد أسبوع و المشكلة مازالت هي هي. خدمة فاشلة.","الخدمة"
"نظارات الواقع الافتراضي هاذي تعمل دوخة من أول استعمال، حاجة موش عادية.","المنتج"
"الدرس التعليمي على الخط اللي تسجلت فيه، الأستاذ يتكلم بسرعة و ما فهمت منو شي. منصة سيئة.","الخدمة"
"شريت زيت زيتون على أساس 'عصرة أولى'، طلع طعمه غريب وريحته موش زيت أصلي. غش.","المنتج"
"شركة تأجير السيارات عطاوني سيارة حالتها تعبانة و وسخة من داخل. إهمال.","الخدمة"
"النبتة اللي شريتها من المشتل ماتت بعد أيام قليلة، باين مريضة من غادي.","المنتج"
"خدمة حرفاء شركة الاتصالات ما يجاوبوك كان بعد انتظار طويل على الخط. تضييع وقت.","الخدمة"
"حافظة الحرارة الترموس هاذي ما تخليش المشروب سخون، القهوة تبرد فيها فيسع.","المنتج"
"المحل متاعكم ديما السلعة اللي تعلنو عليها في التخفيضات ما نلقاهاش. إعلانات كاذبة.","الخدمة"
"مزيل العرق هذا قالوا مفعوله يدوم نهار كامل، بعد ساعتين الريحة ترجع أقوى.","المنتج"
"باش تشترك في قناتكم التلفزية، الإجراءات معقدة و ما فماش شكون يعاونك.","الخدمة"
"الفيتامينات هاذي شريتها غالية، ما حسيت بحتى فايدة، مجرد كلام.","المنتج"
"وكالة الأسفار حجزت معاهم رحلة، و قبل السفر بيومين ألغوها بحجة واهية.","الخدمة"
"شريت تلفاز بالتقسيط، طلع سعره أغلى من الدفع الفوري ببرشة فلوس زيادة. استغلال.","الخدمة"
"العجينة الجاهزة هاذي يابسة و ما تتمدش بالكدا، فسدتلي الطبخة.","المنتج"
"موقعكم لحجز المواعيد ديما معطل و يرجعني للصفحة الرئيسية كل مرة.","الخدمة"
"الحذاء الرياضي هذا عملي أوجاع في أسفل الظهر، التبطين متاعو صفر.","المنتج"
"المصبغة هاذي رجعتلي القميص مكرمش و فيه بقع أكثر من اللي كان. خدمة رديئة.","الخدمة"
"شريت برنامج محاسبة للحاسوب، فيه أخطاء حسابية كبيرة، ضيعلي خدمتي.","المنتج"
"الدعم الفني متاعكم عن طريق المحادثة الكتابية، المجيب الآلي ما يفهمش سؤالي.","الخدمة"
"معطر الجو هذا ريحته خانقة و قوية برشا، موش مريحة أبداً.","المنتج"
"شركة التنظيف اللي طلبتها للمكتب، جاو متأخرين و ما نظفوش الأماكن الصعيبة.","الخدمة"
"شاحن الهاتف المتنقل هذا يشحن التليفون شوي برك و يفرغ بسرعة.","المنتج"
"الصراف الآلي متاع البنك متاعكم ديما فارغ، خاصة في آخر الأسبوع. خدمة ناقصة.","الخدمة"
"شريت كاميرا مراقبة للمنزل، جودة الصورة في الظلام ضعيفة جداً ما يتشاف شي.","المنتج"
"الحفافة هاذي حرقتلي شعري بمادة الفرد، ولا هايش و يتقطع.","الخدمة"
"العصير المعلب هذا طعمه سكر برك و فيه ألوان صناعية، ما فيه حتى طعم فاكهة.","المنتج"
"شركة النقل الحضري، الحافلة ديما مكدسة بالعباد و مواعيدها غير محترمة.","الخدمة"
"العسل اللي شريتو على أساس 'صافي' شكيت فيه مخلوط بالسكر، طعمته موش طبيعية.","المنتج"
"حاولت نرجع سلعة شريتها من موقعكم، شروط الإرجاع معقدة و مستحيلة التطبيق.","الخدمة"
"فلتر الماء هذا ما ينحيش طعمة الدواء من ماء الحنفية كيما يوعدو.","المنتج"
"المدرسة الخاصة هاذي، مستوى التدريس فيها متدني و المعلمين موش في المستوى.","الخدمة"
"الفراش الهوائي اللي شريتو، من أول ليلة استعمال بدا يفرغ من الهواء.","المنتج"
"طلبت تغيير زيت السيارة، رجعوهالي الزيت فيها ناقص و المحرك حالته زيت. إهمال كبير.","الخدمة"
"جهاز الألعاب هذا يسخن بسرعة كبيرة و ساعات يتوقف وحده في وسط اللعبة.","المنتج"
"خدمة التوصيل السريع متاعكم أبطأ من التوصيل العادي متاع أي شركة أخرى.","الخدمة"
"كيس النوم هذا ما يدفيش بالكل، ليل كامل و أنا نترعد بالبرد في التخييم.","المنتج"
"البطارية الخارجية للهاتف شريتها، تشحن مرة و نص و توفى، موش كيما الوصف.","المنتج"
"النجار اللي خدم لي خزانة، الخشب نوعية رديئة و البيبان ما تتسكرش قدقد. خدمة خايبة.","الخدمة"
"الفرن الكهربائي هذا الحرارة متاعو ما تتوزعش بالتساوي، يحرق الماكلة من جهة.","المنتج"
"كي طلبت مساعدة من خدمة العملاء متاعكم بالتليفون، قعدت نستنى ساعة و محدش رد.","الخدمة"
"الدهان الطلاء هذا بعد ما شاح، اللون متاعو طلع مختلف على العينة اللي وراوهالي.","المنتج"
"شركة تركيب الزجاج عملولي خدوش في الزجاج الجديد و ما حبوش يعترفوا بغلطتهم.","الخدمة"
"الدراجة الهوائية شريتها لولدي، الفرامل متاعها ما تشدش مليح، خطيرة.","المنتج"
"تطبيق البنك متاعكم ديما فيه مشاكل تقنية و ما نجمش نعمل تحويل فلوس.","الخدمة"
"شريت لحم مفروم معلب، لقيت فيه قطع عظم صغيرة، وين الرقابة الصحية؟","المنتج"
"خدمة كوي الملابس في النزل غالية على قلة فايدة، الملابس ترجع موش مكويه مليح.","الخدمة"
"الراديو هذا فيه تشويش كبير في الصوت و ما يشدش الموجات بالباهي.","المنتج"
"الموقع متاعكم لشراء التذاكر عبر الأنترنات معقد برشا و كل مرة يعلق.","الخدمة"
"العدسات اللاصقة هاذي عملتلي جفاف و احمرار في عينيا، ما نجمتش نستعملها.","المنتج"
"الكهربائي اللي جاء يصلح الضو، خلا الأسلاك ظاهرة و الخدمة موش متقونة. خطر.","الخدمة"
"شريت كتاب من مكتبتكم، فيه صفحات ناقصة و صفحات مكررة.","المنتج"
"شركة التأمين متاعكم تماطل في دفع التعويضات بشكل موش معقول.","الخدمة"
"الغسالة متاع الملابس ولات تعمل حس غريب بعد شهرين استعمال و ما تنظفش كيما قبل.","المنتج"
"طلبت فطور الصباح للغرفة في النزل، وصل ناقص برشا حاجات و الخبز بايت.","الخدمة"
"المظلة الشمسية هاذي من أول ريح قوي تكسرت الأعواد متاعها، خامة ضعيفة.","المنتج"
"خدمة الإنترنت الفضائي متاعكم تقص مع كل غيمة في السماء، موش عملية.","الخدمة"
"شريت حليب مجفف للأطفال، لقيت تاريخ الإنتاج قديم برشا.","المنتج"
"حاولت نلغي اشتراك في خدمة متاعكم، ما لقيت حتى طريقة واضحة في الموقع. تعقيد مقصود.","الخدمة"
"القلم الحبر هذا يسيح برشا و يوسخ الورقة و اليدين.","المنتج"
"الميكانيكي قال باش يبدل قطعة غيار أصلية، و بعد اكتشفت اللي هي مقلدة. غشاش.","الخدمة"
"الجهاز اللوحي التابلت هذا شاشته اللمس ما تستجيبش مليح، لازم تنزل بالقوة.","المنتج"
"خدمة توصيل الأدوية من الصيدلية متاعكم بطيئة جدا، المريض يستنى بالسوايع.","الخدمة"
"الجبن الأبيض هذا مالح برشا لدرجة ما يتكلش.","المنتج"
"السباك اللي خدم في الدار، خلا الحمام يقطر اكثر ملي كان. زاد الطين بلة.","الخدمة"
"الخلاط الكهربائي هذا ريشته الشفرة تكسرت من ثاني استعمال مع فاكهة عادية.","المنتج"
"الاشتراك في الصالة الرياضية متاعكم غالي، و برشا آلات ديما معطلة.","الخدمة"
"المرآة اللي شريتها من عندكم الصورة فيها مشوهة، كأنها مراية متاع مدينة ملاهي.","المنتج"
"خدمة العملاء عن طريق الواتساب ما يردوش على الأسئلة، يبعثوا كان ردود جاهزة.","الخدمة"
"بذور النباتات اللي شريتها ما نبتتش منها حتى وحدة، فلوس ضايعة.","المنتج"
"الدورة التدريبية اللي خلصت عليها فلوس، المحتوى متاعها سطحي جدا و ما يستاهلش.","الخدمة"
"الكرسي المتحرك شريناه لكبير في السن، العجلات متاعو ثقيلة و ما تدورش بسهولة.","المنتج"
"شركة رش المبيدات للحشرات خدمتها ناقصة، الحشرات رجعت بعد يومين.","الخدمة"
"ميزان المطبخ هذا كل مرة يعطي قراءة مختلفة لنفس الوزن. موش دقيق.","المنتج"
"المصور الفوتوغرافي اللي تعاقدنا معاه في العرس، أغلب التصاور مظلمة و مهزوزة.","الخدمة"
"المكنسة اليدوية الكهربائية الصغيرة هاذي بطاريتها تفرغ في خمسة دقايق.","المنتج"
"خدمة الاشتراك في الجريدة الورقية متاعكم، الجريدة توصل ديما العشية و الأخبار قديمة.","الخدمة"
"شريت عطر للسيارة، ريحته قوية أول يومين و بعد تطير كأنها ما كانتش.","المنتج"
"الموقع الإلكتروني متاعكم لبيع الملابس ما فيهش جدول مقاسات واضح، شريت حاجات غالطة.","الخدمة"
"ان الشمسي هذا ما يسخنش الماء بالكفاءة المطلوبة، ديما الماء فاتر.","المنتج"
"خدمة غسيل السيارات المتنقلة متاعكم، يخليو السيارة مبقعة و ما ينظفوش من داخل مليح.","الخدمة"
"شريت لعبة أطفال الكترونية، الصوت متاعها مزعج جدا و ما يتنحاش.","المنتج"
"العيادة البيطرية هاذي أسعارها نار و التشخيص متاعهم ديما موش دقيق.","الخدمة"
"القدر الطنجرة الضغط هذا صمام الأمان متاعو فيه مشكلة، يخوف.","المنتج"
"تطبيق طلب الطعام ما يحدثش حالة الطلبية، تقعد تستنى و ما تعرفش وين وصلت.","الخدمة"
